Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
CD005842,CD005842,CD,UNIT,,15.99,1,,,,,,,,,,,,,,,,
CDYD8159,CDYD8159,CD,UNIT,,16.99,1,,,,,,,,,,,,,,,,
CD005913,CD005913,CD,UNIT,,15.99,1,,,,,,,,,,,,,,,,
CD000571,CD000571,CD,UNIT,,15.99,1,,,,,,,,,,,,,,,,
CD005091,CD005091,CD,UNIT,,16.99,1,,,,,,,,,,,,,,,,
CD00W187,CD00W187,CD,UNIT,,20.99,1,,,,,,,,,,,,,,,,
CD008963,CD008963,CD,UNIT,,13.99,1,,,,,,,,,,,,,,,,
CD004330,CD004330,CD,UNIT,,11.99,1,,,,,,,,,,,,,,,,
CD005612,CD005612,CD,UNIT,,16.99,1,,,,,,,,,,,,,,,,
DO004171,DO004171,DO,UNIT,,19.99,1,,,,,,,,,,,,,,,,
CD005198,CD005198,CD,UNIT,,16.99,1,,,,,,,,,,,,,,,,
CD009709,CD009709,CD,UNIT,,17.99,1,,,,,,,,,,,,,,,,
CDXZ0175,CDXZ0175,CD,UNIT,,16.99,1,,,,,,,,,,,,,,,,
CD007994,CD007994,CD,UNIT,,19.99,1,,,,,,,,,,,,,,,,
JK007963,JK007963,JK,UNIT,,22.99,1,,,,,,,,,,,,,,,,
SYBB0111,SYBB0111,SY,UNIT,,8,1,,,,,,,,,,,,,,,,
CD007686,CD007686,CD,UNIT,,14.99,1,,,,,,,,,,,,,,,,
CD009003,CD009003,CD,UNIT,,14.99,1,,,,,,,,,,,,,,,,
CDBB6032,CDBB6032,CD,UNIT,,13.99,1,,,,,,,,,,,,,,,,
SS002166,SS002166,SS,UNIT,,14.99,1,,,,,,,,,,,,,,,,
CD008389,CD008389,CD,UNIT,,12.99,1,,,,,,,,,,,,,,,,
CD00B132,CD00B132,CD,UNIT,,17.99,1,,,,,,,,,,,,,,,,
SSBB90029,SSBB90029,SS,UNIT,,14.99,1,,,,,,,,,,,,,,,,
CD00B140,CD00B140,CD,UNIT,,16.99,1,,,,,,,,,,,,,,,,
CD0W4304,CD0W4304,CD,UNIT,,10,1,,,,,,,,,,,,,,,,
CD0W8875,CD0W8875,CD,UNIT,,11.99,1,,,,,,,,,,,,,,,,
CD005616,CD005616,CD,UNIT,,11.99,1,,,,,,,,,,,,,,,,
CD0W3960,CD0W3960,CD,UNIT,,10.99,1,,,,,,,,,,,,,,,,
CD0R7319,CD0R7319,CD,UNIT,,10,1,,,,,,,,,,,,,,,,
SY00386,SY00386,SY,UNIT,,12.99,1,,,,,,,,,,,,,,,,
CDBB8464,CDBB8464,CD,UNIT,,13.99,1,,,,,,,,,,,,,,,,
CDBB90853,CDBB90853,CD,UNIT,,12.99,1,,,,,,,,,,,,,,,,
CD003227,CD003227,CD,UNIT,,14.99,1,,,,,,,,,,,,,,,,
CD009758,CD009758,CD,UNIT,,14.99,1,,,,,,,,,,,,,,,,
CD0B7565,CD0B7565,CD,UNIT,,12.99,1,,,,,,,,,,,,,,,,
CD0A3009,CD0A3009,CD,UNIT,,16.99,1,,,,,,,,,,,,,,,,
CD009524,CD009524,CD,UNIT,,12.99,1,,,,,,,,,,,,,,,,
CD00906442,CD00906442,CD,UNIT,,10.99,1,,,,,,,,,,,,,,,,
CD008423,CD008423,CD,UNIT,,17.99,1,,,,,,,,,,,,,,,,
